Year,Age_Group,Rate
1958    ,15-19,128.00
1959    ,15-19,123.00
1960    ,15-19,114.00
1961    ,15-19,118.00
1962    ,15-19,105.00
1963    ,15-19,91.00
1964    ,15-19,85.00
1965    ,15-19,80.00
1966    ,15-19,78.00
1967    ,15-19,68.00
1968    ,15-19,65.00
1969    ,15-19,58.00
1970    ,15-19,58.00
1971    ,15-19,58.00
1972    ,15-19,56.00
1973    ,15-19,53.00
1974    ,15-19,53.00
1975    ,15-19,53.00
1976    ,15-19,49.00
1977    ,15-19,48.00
1978    ,15-19,45.00
1979    ,15-19,44.00
1980    ,15-19,43.00
1981    ,15-19,42.00
1982    ,15-19,40.00
1983    ,15-19,37.00
1984    ,15-19,36.00
1985    ,15-19,35.00
1986    ,15-19,34.00
1987    ,15-19,31.00
1988    ,15-19,29.00
1989    ,15-19,28.00
1990    ,15-19,29.00
1991    ,15-19,28.00
1992    ,15-19,28.00
1993    ,15-19,27.00
1994    ,15-19,26.00
1995    ,15-19,23.00
1996    ,15-19,23.00
1997    ,15-19,21.00
1998    ,15-19,19.00
1999    ,15-19,17.00
2000    ,15-19,15.00
2001    ,15-19,15.00
2002    ,15-19,13.00
2003    ,15-19,13.00
2004    ,15-19,13.00
2005    ,15-19,12.00
2006    ,15-19,12.00
2007    ,15-19,12.00
2008    ,15-19,13.00
2009    ,15-19,14.00
2010    ,15-19,14.00
2011    ,15-19,14.00
2012    ,15-19,14.00
2013    ,15-19,13.00
2014    ,15-19,13.00
2015    ,15-19,12.00
2016    ,15-19,10.00
2017    ,15-19,9.00
2018    ,15-19,9.00
2019    ,15-19,8.25
2020    ,15-19,7.60
2021    ,15-19,6.08
2022    ,15-19,6.00
1958    ,20-24,318.00
1959    ,20-24,313.00
1960    ,20-24,306.00
1961    ,20-24,313.00
1962    ,20-24,299.00
1963    ,20-24,284.00
1964    ,20-24,282.00
1965    ,20-24,261.00
1966    ,20-24,259.00
1967    ,20-24,247.00
1968    ,20-24,240.00
1969    ,20-24,225.00
1970    ,20-24,226.00
1971    ,20-24,225.00
1972    ,20-24,215.00
1973    ,20-24,205.00
1974    ,20-24,207.00
1975    ,20-24,198.00
1976    ,20-24,200.00
1977    ,20-24,191.00
1978    ,20-24,187.00
1979    ,20-24,184.00
1980    ,20-24,183.00
1981    ,20-24,184.00
1982    ,20-24,179.00
1983    ,20-24,171.00
1984    ,20-24,170.00
1985    ,20-24,167.00
1986    ,20-24,159.00
1987    ,20-24,148.00
1988    ,20-24,147.00
1989    ,20-24,135.00
1990    ,20-24,139.00
1991    ,20-24,139.00
1992    ,20-24,140.00
1993    ,20-24,140.00
1994    ,20-24,134.00
1995    ,20-24,131.00
1996    ,20-24,129.00
1997    ,20-24,123.00
1998    ,20-24,116.00
1999    ,20-24,102.00
2000    ,20-24,95.00
2001    ,20-24,88.00
2002    ,20-24,81.00
