Date,Total_Fertility_Rate 
01/01/1958,6.28
01/01/1959,6.18
01/01/1960,6.04
01/01/1961,6.2
01/01/1962,6.04
01/01/1963,5.97
01/01/1964,5.97
01/01/1965,5.63
01/01/1966,5.72
01/01/1967,5.38
01/01/1968,5.38
01/01/1969,5.06
01/01/1970,4.88
01/01/1971,4.87
01/01/1972,4.71
01/01/1973,4.49
01/01/1974,4.42
01/01/1975,4.28
01/01/1976,4.24
01/01/1977,4.09
01/01/1978,3.95
01/01/1979,3.99
01/01/1980,3.99
01/01/1981,4.01
01/01/1982,3.96
01/01/1983,3.82
01/01/1984,3.9
01/01/1985,3.98
01/01/1986,3.85
01/01/1987,3.68
01/01/1988,3.7
01/01/1989,3.36
01/01/1990,3.49
01/01/1991,3.45
01/01/1992,3.47
01/01/1993,3.47
01/01/1994,3.35
01/01/1995,3.28
01/01/1996,3.23
01/01/1997,3.12
01/01/1998,2.97
01/01/1999,2.9
01/01/2000,2.93
01/01/2001,2.71
01/01/2002,2.61
01/01/2003,2.49
01/01/2004,2.45
01/01/2005,2.36
01/01/2006,2.3
01/01/2007,2.27
01/01/2008,2.27
01/01/2009,2.24
01/01/2010,2.14
01/01/2011,2.17
01/01/2012,2.19
01/01/2013,2.02
01/01/2014,2.07
01/01/2015,2
01/01/2016,1.92
01/01/2017,1.89
01/01/2018,1.84
01/01/2019,1.78
01/01/2020,1.71
01/01/2021,1.7
01/01/2022,1.63
