Year,Rate
1958,6.28
1959,6.18
1960,6.04
1961,6.20
1962,6.04
1963,5.97
1964,5.97
1965,5.63
1966,5.72
1967,5.38
1968,5.38
1969,5.06
1970,4.88
1971,4.87
1972,4.71
1973,4.49
1974,4.42
1975,4.28
1976,4.24
1977,4.09
1978,3.95
1979,3.99
1980,3.99
1981,4.01
1982,3.96
1983,3.82
1984,3.90
1985,3.98
1986,3.85
1987,3.68
1988,3.70
1989,3.36
1990,3.49
1991,3.45
1992,3.47
1993,3.47
1994,3.35
1995,3.28
1996,3.23
1997,3.12
1998,2.97
1999,2.90
2000,2.93
2001,2.71
2002,2.61
2003,2.49
2004,2.45
2005,2.36
2006,2.30
2007,2.27
2008,2.27
2009,2.24
2010,2.14
2011,2.17
2012,2.19
2013,2.02
2014,2.07
2015,2.00
2016,1.92
2017,1.89
2018,1.84
2019,1.78
2020,1.71
2021,1.70
2022,1.63
